[2025-07-31T17:47:37.998Z] ERROR: ERROR: POST /api/admin/login | User: Guest | AccountType: N/A | Message: handleErrorResponse is not a function
[2025-08-03T13:12:59.361Z] ERROR: GET /api/profile | Status: 500 | User: 688917f26e0bc65bae76dd4b | AccountType: user | Message: next is not defined
[2025-08-03T13:32:02.289Z] ERROR: GET /api/profile | Status: 500 | User: 688917f26e0bc65bae76dd4b | AccountType: user | Message: res.status.json is not a function
[2025-08-03T13:36:29.023Z] ERROR: GET /api/profile | Status: 500 | User: 688917f26e0bc65bae76dd4b | AccountType: user | Message: next is not defined
[2025-08-03T13:40:06.379Z] ERROR: GET /api/profile | Status: 500 | User: 688917f26e0bc65bae76dd4b | AccountType: user | Message: next is not a function
[2025-08-03T13:43:19.800Z] ERROR: GET /api/profile | Status: 500 | User: 688917f26e0bc65bae76dd4b | AccountType: user | Message: res.status.json is not a function
[2025-08-05T18:54:48.017Z] ERROR: POST /api/admin/add-vendor | Status: 500 | User: 688baaf43e94d1c76e9f1366 | AccountType: superadmin | Message: phone is not defined
[2025-08-05T19:10:48.554Z] ERROR: POST /api/admin/add-user | Status: 500 | User: 688baaf43e94d1c76e9f1366 | AccountType: superadmin | Message: Email is already registered
[2025-08-05T19:11:52.871Z] ERROR: POST /api/admin/add-user | Status: 500 | User: 688baaf43e94d1c76e9f1366 | AccountType: superadmin | Message: Email is already registered
[2025-08-05T19:33:48.978Z] ERROR: POST /api/admin/signup | Status: 500 | User: Guest | AccountType: N/A | Message: next is not a function
[2025-09-01T00:52:14.581Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:14.595Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:14.589Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:14.594Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:14.589Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:14.609Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:14.602Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:14.602Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:14.693Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:14.802Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:14.855Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:14.893Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:14.970Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:14.863Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:15.071Z] ERROR: POST /api/auth/signup | Status: 500 | User: Guest | AccountType: N/A | Message: Data command failed: 550 5.7.0 Too many emails per second. Please upgrade your plan https://mailtrap.io/billing/plans/testing
[2025-09-01T00:52:15.136Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee3ad071118891a2634e | AccountType: user | Message: next is not a function
[2025-09-01T00:52:15.170Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee3aa93d47721967667e | AccountType: user | Message: next is not a function
[2025-09-01T00:52:15.241Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee3a46ffd362b8167a21 | AccountType: user | Message: next is not a function
[2025-09-01T00:52:15.235Z] ERROR: GET /api/bookmark | Status: 500 | User: 68b4ee3a7f3ae8687c253d48 | AccountType: user | Message: next is not a function
